Date,Open,High,Low,Close,Volume,Adj Close
2006-07-10,126.940002,127.43,126.410004,126.849998,60964100,104.80818
2006-07-07,127.190002,127.559998,126.290001,126.610001,81626500,104.609885
2006-07-06,127.199997,127.849998,127.080002,127.440002,50100300,105.295663
2006-07-05,127.290001,127.449997,126.519997,127.07,69653400,104.989953
2006-07-03,127.43,128.009995,127.309998,127.800003,23914000,105.593109
2006-06-30,127.540001,127.660004,126.959999,127.279999,54227800,105.163462
2006-06-29,125.199997,127.349998,125.169998,127.269997,110634800,105.155198
2006-06-28,124.190002,124.769997,123.650002,124.75,62368100,103.073083
2006-06-27,125.010002,125.290001,123.769997,123.910004,69780200,102.379047
2006-06-26,124.540001,125.059998,124.25,124.989998,37899600,103.271379
2006-06-23,124.330002,125.300003,124.029999,124.440002,54107000,102.816952
2006-06-22,124.949997,125.059998,124.040001,124.459999,74566100,102.833474
2006-06-21,124.00,125.699997,123.959999,125.010002,75008200,103.287907
2006-06-20,124.010002,124.809998,123.720001,124.089996,65494700,102.527764
2006-06-19,125.400002,125.480003,123.550003,123.669998,95804400,102.180746
2006-06-16,125.290001,125.559998,124.459999,124.650002,94253500,102.990461
2006-06-15,123.949997,126.360001,123.860001,126.120003,134057000,103.746465
2006-06-14,122.839996,123.629997,122.339996,123.50,163566400,101.591248
2006-06-13,123.739998,124.839996,122.550003,122.550003,185688800,100.809779
2006-06-12,125.879997,125.93,123.82,123.989998,95815900,101.994321
2006-06-09,126.360001,126.959999,125.290001,125.349998,94972200,103.113059
2006-06-08,125.580002,126.50,123.870003,125.75,204957200,103.442101
2006-06-07,126.910004,127.650002,125.790001,125.860001,108599400,103.532587
2006-06-06,127.209999,127.379997,125.760002,126.809998,130498600,104.314056
2006-06-05,128.850006,128.860001,126.769997,127.120003,86105100,104.569067
2006-06-02,129.25,129.429993,128.320007,129.00,91702600,106.115555
2006-06-01,127.379997,128.940002,127.269997,128.729996,73721700,105.893449
2006-05-31,126.620003,127.510002,126.199997,127.510002,86926200,104.889881
2006-05-30,127.970001,128.00,126.050003,126.099998,72419900,103.73001
2006-05-26,128.009995,128.380005,127.510002,128.380005,62989700,105.605546
2006-05-25,126.919998,127.730003,126.43,127.730003,78977900,105.070854
2006-05-24,125.68,126.889999,124.760002,126.169998,168405000,103.787592
2006-05-23,127.18,127.629997,125.169998,125.169998,92006500,102.964991
2006-05-22,126.279999,127.169998,125.50,126.129997,110852800,103.754687
2006-05-19,126.870003,127.489998,125.800003,127.099998,124309400,104.552611
2006-05-18,127.349998,127.75,126.110001,126.209999,87906300,103.820497
