Date,,Rt-1,Rt-2,Rt-7,Rt-30,Rt-91,Rt-365,,Return t+1 to t+7
5/14/2014,,-0.004749145,-0.003853753,-0.006260926,-0.032906167,-0.042076993,-0.154684051,,0.002646484
5/13/2014,,0.000895392,0.010584346,-0.016882111,-0.04550284,-0.047320639,-0.169714046,,-0.00899761
5/12/2014,,0.009688954,0.011179818,-0.00724466,-0.044607448,-0.057309642,-0.169613818,,-0.007341125
5/9/2014,,0.001490864,0.000425724,0.000531839,-0.004639445,-0.049455608,-0.163173503,,-0.005896593
5/8/2014,,-0.00106514,0.004806901,0.003457409,-0.013842093,-0.06028429,-0.158862507,,-0.001066105
5/7/2014,,0.00587204,-0.002870019,0.002286044,-0.019021627,-0.074450417,-0.164468308,,0.005154165
5/6/2014,,-0.008742059,-0.006829603,0.005179844,-0.002036578,-0.067323233,-0.16365212,,0.012619409
5/5/2014,,0.001912456,0.000477749,-0.008206779,-0.010778638,-0.083045529,-0.174931727,,0.010792577
5/2/2014,,-0.001434707,-0.001328481,-0.009456487,0.004350867,-0.058370664,-0.183109013,,0.008831275
5/1/2014,,0.000106225,0.003084466,-0.002658447,-0.000424888,-0.053929729,-0.1937882,,-0.003191274
4/30/2014,,0.00297824,0.007622804,-0.004577403,-0.006927469,-0.064368163,-0.184875821,,-0.002713241
4/29/2014,,0.004644564,0.007806728,0.000745393,-0.012110289,-0.051738304,-0.18428011,,-0.000160053
4/28/2014,,0.003162164,-0.005070583,0.000855738,-0.007465726,-0.053030879,-0.186311879,,0.002769811
4/25/2014,,-0.008232747,-0.006207565,0.000536688,-0.007110904,-0.044937323,-0.181381822,,0.000481018
4/24/2014,,0.002025182,-0.000319375,-0.007696059,-0.008125369,-0.031603239,-0.193660085,,0.005805129
4/23/2014,,-0.002344556,0.002189663,-0.007066744,-0.010834712,-0.021351095,-0.192268536,,-0.000796591
4/22/2014,,0.00453422,0.008015433,-0.019834578,-0.009035334,-0.024347029,-0.204869595,,-0.00202529
4/21/2014,,0.003481213,0.00487708,-0.022164219,-0.004501115,-0.022748996,-0.204763439,,0.001334365
4/17/2014,,0.001395867,0.011819145,-0.017481143,0.002386737,-0.015029343,-0.203664761,,0.004174919
4/16/2014,,0.010423278,0.017287138,0.005144382,-0.003329925,-0.012332916,-0.187549549,,0.013306756
4/15/2014,,0.00686386,0.014711388,0.004874149,-0.001909638,-0.007285297,-0.191781182,,0.012590945
4/14/2014,,0.007847528,-0.001201862,0.007623614,0.004954222,-0.011260141,-0.161470732,,0.021104488
4/11/2014,,-0.00904939,-0.030279048,0.026584151,0.02689025,0.009981768,-0.151170303,,0.019005954
